pid         env      rec      smi
t1        77859     6818     6818
t2        13763     3389     3389
t3        71657     6586     6586
t4        76759     5130     5130
t5          619      316      316
t6           26        9        9
t7            2        2        2
t8            0        0        0
t9        13004     2583     2583
t10        1066      228      228
t11          58       20       20
t12           2        1        1
t13         672      159      159
t14        1176      159      159
t15        5476      442      442
t16        5376      431      431
t17       60197     6874     6874
t18       11920     4009     4009
t18a        280       91       91
t18b          6        1        1
t19        3555     1731     1731
t19a        266       83       83
t20        5605     1954     1954
t21         370      281      281
t22         599      561      561
t23        2746     1607     1607
t24         469      215      215
t25          25       25       25
t26          33       29       29
t27         561      185      185
t28           9        5        5
t29         165      107      107
t30          10        9        9
t31          11       10       10
t31a          0        0        0
t32          30       14       14
t33          14        7        7
t34          81       25       25
t35         278       80       80
t36          20       10       10
t37          57       29       29
t38           7        3        3
t39          60       28       28
t40         104       51       51
t41          78       40       40
t42         163       79       79
t42a          0        0        0
t43       22477     4113     4113
t44      353536     9069     9069
t45       29179     4891     4891
t46         721      647      647
t47       30625     5348     5348
t48        1832     1612     1612
t48a         80       40       40
t49         104       25       25
t50       10690      583      583
t51       23260     1946     1946
t52          57       26       26
t53          33       18       18
t54           3        1        1
t55           6        2        2
t56           8        3        3
t57          52       10       10
t58g       1685      503      503
t58h       6161     1627     1627
t59g         11        7        7
t59h         23       15       15
t60g         22        7        7
t60h         46       15       15
t61g         10        5        5
t61h         33       20       20
t62g         20        5        5
t62h         66       20       20
t63           0        0        0
t64       61139     5838     5838
t65          12        2        2
t66        2471     1776     1776
t67        6443     3179     3179
t68         185      111      111
t69         274      123      123
t70          42       25       25
t71g        155       91       91
t71h         29       15       15
t72g        350      165      165
t72h         43       24       24
t73g       7454     1508     1508
t73h         49       23       23
t74g      23296     4349     4349
t74h         40       15       15
t75       17516     4929     4929
t76        1359     1088     1088
t77        4940     2938     2938
t78        2329     1818     1818
t79        1462      430      430
t80       30140     4193     4193
t81          14        4        4
t82g       2103     1762     1762
t82h         18       18       18
t82a          6        3        3
t83g       4011     2583     2583
t83h         28       23       23
t83a        486      120      120
t84g      15917     3876     3876
t84h         28        5        5
t85        9895     3767     3767
t86       12402     4234     4234
t87         308       72       72
t87a         84        7        7
t88           4        3        3
t89           0        0        0
t90         691      377      377
t91           3        2        2
t92           8        5        5
t93        1946      977      977
t94        1942      897      897
t95       11334     2978     2978
t96        2431     1002     1002
t97        2334     1183     1183
t98         115       54       54
t99          92       90       90
t100         10        5        5
t101          3        3        3
t102          0        0        0
t103          1        1        1
t104          8        4        4
t105       5078     1775     1775
t106       1753      826      826
t107        730      670      670
t108        526      514      514
t109        377      366      366
t110        656      598      598
t111       4816     1444     1444
t112          0        0        0
t113g         0        0        0
t113h         0        0        0
t114          0        0        0
t115g      2032      951      951
t115h       297      163      163
t115i         0        0        0
t116g       425      377      377
t116h       471      187      187
t116i         0        0        0
t116j         0        0        0
t117g      1293      752      752
t117h         0        0        0
t117i         0        0        0
t117j         0        0        0
t117k         0        0        0
t117l         0        0        0
t118g      3033      311      311
t118h       175       29       29
t119g       251       62       62
t119h        18        5        5
t120g       136       54       54
t120h        11        5        5
t121g      7374     1133     1133
t121h        36       17       17
t122g         0        0        0
t122h         0        0        0
t122i      1300      295      295
t122j         0        0        0
t122k       320      141      141
t122l        32       16       16
t123ag      144       10       10
t123ah       54        4        4
t124g        24        3        3
t124h         0        0        0
t125          2        2        2
t126          1        1        1
t127g         7        7        7
t127h        76       35       35
t127i         0        0        0
t128         18        9        9
t129        306      297      297
t130g         0        0        0
t130h         0        0        0
t130i         8        3        3
t131g         0        0        0
t131h         0        0        0
t131i         0        0        0
t131j         7        5        5
t132g         0        0        0
t132h         0        0        0
t132i        20        6        6
t133g         0        0        0
t133h         0        0        0
t133i         0        0        0
t133j         1        1        1
t134g         0        0        0
t134h       140       34       34
t135         72       18       18
t136         92       23       23
t137         20       16       16
t138       4018     1804     1804
t138a         0        0        0
t139        269      266      266
t140        520      500      500
t141          4        2        2
t141ag     5412     1153     1153
t141ah      480       77       77
t141bg     1044      519      519
t141bh       20        5        5
t141cg      889      126      126
t141ch      314       81       81
t141ci      123       35       35
t141cj     1010      403      403
t142g        58       47       47
t142h        46       23       23
t142i         0        0        0
t142j         0        0        0
t142k         0        0        0
t143g        20       14       14
t143h       135       51       51
t143i         0        0        0
t143j         4        1        1
t143k         0        0        0
t144g         0        0        0
t144h        52       49       49
t144i         0        0        0
t144j         4        4        4
t145g         0        0        0
t145h       517      318      318
t145i         0        0        0
t145j         1        1        1
t146g         0        0        0
t146h        88       63       63
t146i         0        0        0
t146j         4        4        4
t147g         0        0        0
t147h       568      347      347
t147i         0        0        0
t147j         1        1        1
t148g         0        0        0
t148h      1197      382      382
t148i         0        0        0
t148j         5        5        5
t149g         0        0        0
t149h      1379      426      426
t149i         0        0        0
t149j         6        6        6
t150g       239      166      166
t150h         0        0        0
t151g        51       46       46
t151h         0        0        0
t152g       604      222      222
t152h         2        1        1
t153g        42       21       21
t153h         1        1        1
t154g       219       73       73
t154h         0        0        0
t155g         5        5        5
t155h         1        1        1
t156g        38       18       18
t156h         1        1        1
t157g        63       20       20
t157h         6        3        3
t158g         9        9        9
t158h         0        0        0
t158i         0        0        0
t158j         0        0        0
t159g         4        1        1
t159h        73       12       12
t160          8        4        4
t161g         0        0        0
t161h        12        2        2
t162g         0        0        0
t162h         6        2        2
t163g         0        0        0
t163h         0        0        0
t164          0        0        0
t165        165      165      165
t166       1875      685      685
t167         15        7        7
