t58 {9, 6} [#6X4:1]-[#6X4:2]-[#7X4,#7X3:3]-[#6X4:4]
	 9 [H]C([H])([H])[N+]([H])([H])C([H])([H])C([H])(Cl)Cl
	 9 [H][C@]12[C@](C1([H])O[H])(C([N+](C2([H])[H])([H])[H])([H])[H])[H]
	 9 [H][C@@]12[C@](C1([H])O[H])(C([N+](C2([H])[H])([H])[H])([H])[H])[H]
	 9 [H][C@]12[C@@](C1([H])O[H])(C([N+](C2([H])[H])([H])[H])([H])[H])[H]
	 9 [H]c1c(c(c(c(n1)Cl)Cl)[C@]2(C(C([N+]2([H])[H])([H])[H])([H])[H])[H])Cl
	 6 [H]C([H])([H])N([H])C([H])([H])C([H])(Cl)Cl
	 6 [H][C@]1(C(C(C(N1[H])([H])[H])([H])[H])([H])[H])C(=O)S[H]
	 6 [H]C([H])([H])C([H])([H])N(C([H])([H])[H])N([H])N([H])[H]
	 6 [H]C1=C(N(C(=N1)[H])C2(C(N(C2([H])[H])[H])([H])[H])[H])[H]
	 6 [H][C@]12[C@](C1([H])O[H])(C(N(C2([H])[H])[H])([H])[H])[H]
t59 {9, 6} [#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[*:4]
	 9 [H]c1c(c(nnc1[C@]2([C@](C2([H])[H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H])OC([H])([H])[H])[H]
	 9 [H]c1c(c(nnc1[C@]2([C@@](C2([H])[H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H])OC([H])([H])[H])[H]
	 9 [H]c1c(c(nnc1[C@@]2([C@](C2([H])[H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H])OC([H])([H])[H])[H]
	 9 [H]c1c(c(nnc1[C@@]2([C@@](C2([H])[H])([H])C([H])([H])C([H])([H])[H])[N+]([H])([H])[H])OC([H])([H])[H])[H]
	 9 [H]c1c(c(nc(c1Cl)[H])C2(C(C2([H])[H])([H])[H])C([H])([H])[H])C([H])([H])[N+]([H])([H])C3(C(C3([H])[H])([H])[H])[H]
	 6 [H]C1(C(C1(C([H])([H])[H])N([H])O[H])([H])[H])[H]
	 6 [H]C1(C(C1(C#N)N([H])S(=O)(=O)C([H])([H])[H])([H])[H])[H]
	 6 [H]C1(C(C1(C([H])([H])[H])N([H])C([H])([H])[H])([H])[H])[H]
	 6 [H]C1(C(C1(C#N)N([H])C([H])([H])C([H])([H])[H])([H])[H])[H]
