pid         env      rec      smi
t1         7887      815      815
t2         1445      379      379
t3         9167      828      828
t4         9018      618      618
t5           63       42       42
t6            4        2        2
t7            2        2        2
t8            2        2        2
t9         1519      378      378
t10         173       41       41
t11          18        4        4
t12           6        3        3
t13         288       71       71
t14         558       71       71
t15        1972      155      155
t16        1956      153      153
t17        7460      995      995
t18        1210      508      508
t18a        142       44       44
t18b          0        0        0
t19         732      313      313
t19a        128       41       41
t20         706      217      217
t21          82       33       33
t22          74       71       71
t23         196      145      145
t24          77       33       33
t25          18       18       18
t26           7        7        7
t27         123       67       67
t28          15       14       14
t29          21       13       13
t30          14       14       14
t31          20       18       18
t31a         10        5        5
t32          25       15       15
t33           6        5        5
t34          10        5        5
t35         130       46       46
t36           6        3        3
t37           4        2        2
t38          12        6        6
t39          74       32       32
t40          12        6        6
t41          22       11       11
t42          64       30       30
t42a         20        5        5
t43        1467      317      317
t44       38836     1291     1291
t45        2731      516      516
t46          89       74       74
t47        2761      605      605
t48         171      148      148
t48a         12        6        6
t49          24        6        6
t50        2286      132      132
t51        2392      228      228
t52           6        3        3
t53          12        3        3
t54           2        1        1
t55           4        1        1
t56           2        1        1
t57          10        2        2
t58g        378       96       96
t58h        506      139      139
t59g         28       12       12
t59h         16       12       12
t60g         56       12       12
t60h         32       12       12
t61g          8        8        8
t61h          8        8        8
t62g         16        8        8
t62h         16        8        8
t63          18        3        3
t64        4741      583      583
t65           0        0        0
t66         202      155      155
t67         435      238      238
t68           7        7        7
t69          72       26       26
t70          20        9        9
t71g         50       26       26
t71h         38       23       23
t72g         26       26       26
t72h         31       23       23
t73g        612      126      126
t73h         17        9        9
t74g       1586      351      351
t74h         26       12       12
t75        1637      545      545
t76         135      127      127
t77         365      260      260
t78         299      228      228
t79         196       55       55
t80        2448      361      361
t81           0        0        0
t82g        202      193      193
t82h          6        6        6
t82a         22       11       11
t83g        317      251      251
t83h         28       17       17
t83a        166       46       46
t84g        835      284      284
t84h          0        0        0
t85         601      272      272
t86        1082      435      435
t87         196       49       49
t87a          0        0        0
t88          12       12       12
t89           4        4        4
t90         102       42       42
t91           2        2        2
t92           7        4        4
t93         199      101      101
t94         173       98       98
t95        1964      557      557
t96         215       81       81
t97         374      255      255
t98          22       10       10
t99           4        4        4
t100          4        2        2
t101          2        2        2
t102          9        9        9
t103          4        4        4
t104         26       13       13
t105        741      300      300
t106        233      111      111
t107        113      106      106
t108         75       74       74
t109         74       73       73
t110        100       94       94
t111        636      212      212
t112          0        0        0
t113g         2        1        1
t113h         0        0        0
t114         12        1        1
t115g       334      169      169
t115h       118       60       60
t115i         0        0        0
t116g        62       58       58
t116h       200       70       70
t116i         0        0        0
t116j         0        0        0
t117g       194      103      103
t117h         0        0        0
t118g      1121      104      104
t118h       161       26       26
t119g       147       28       28
t119h        33        8        8
t120g        46       23       23
t120h        10        8        8
t121g       780      126      126
t121h       102       35       35
t122g        10        5        5
t122h         8        4        4
t122i        64       16       16
t122j        20        5        5
t122k        64       32       32
t122l        30       15       15
t123ag       18        2        2
t123ah        0        0        0
t124g         0        0        0
t124h        24        2        2
t125          1        1        1
t126          1        1        1
t127g        24       24       24
t127h        14        7        7
t127i        15        5        5
t128         34       13       13
t129         24       20       20
t130g        14        5        5
t130h        21       10       10
t131g         0        0        0
t131h         7        2        2
t131i        17       10       10
t132g        10        4        4
t132h        11        5        5
t132i        18       12       12
t133g         0        0        0
t133h        24        9        9
t133i         8        8        8
t134g         6        1        1
t134h        40       10       10
t135          4        1        1
t136         12        3        3
t137         17       12       12
t138        338      156      156
t138a         0        0        0
t139         37       37       37
t140         68       68       68
t141          4        2        2
t141ag       92       18       18
t141ah        6        1        1
t141bg        2        1        1
t141bh        4        1        1
t141cg      126       20       20
t141ch        4        1        1
t141ci        0        0        0
t141cj        5        2        2
t142g        10        7        7
t142h        12        5        5
t142i        33       11       11
t142j         0        0        0
t142k         0        0        0
t143g        27       12       12
t143h        96       31       31
t143i         5        5        5
t143j        14        5        5
t143k        10        3        3
t144g         0        0        0
t144h        11       11       11
t144i         0        0        0
t144j         0        0        0
t145g         0        0        0
t145h        56       33       33
t145i         0        0        0
t145j         0        0        0
t146g         0        0        0
t146h        32       24       24
t146i         0        0        0
t146j         0        0        0
t147g         0        0        0
t147h        46       31       31
t147i         0        0        0
t147j         0        0        0
t148g         0        0        0
t148h       139       47       47
t148i         0        0        0
t148j         4        3        3
t149g         0        0        0
t149h       172       60       60
t149i         8        3        3
t149j         8        3        3
t150g        23       20       20
t150h         0        0        0
t151g        10       10       10
t151h         0        0        0
t152g        89       36       36
t152h         2        2        2
t153g         4        2        2
t153h         0        0        0
t154g        27        8        8
t154h         0        0        0
t155g         4        4        4
t155h         0        0        0
t156g        20       10       10
t156h         5        5        5
t157g        45       13       13
t157h        42       18       18
t158g         3        3        3
t158h         0        0        0
t158i         0        0        0
t159g         0        0        0
t159h        74       19       19
t160         22       11       11
t161g         8        4        4
t161h        37        7        7
t162g         1        1        1
t162h        13        7        7
t163g         3        3        3
t163h         4        4        4
t164          6        2        2
t165         24       24       24
t166        341      133      133
t167         18       12       12
