pid         env      rec      smi      tor
t1         4653      625      494       16
t2          777      203      166       14
t3         5202      605      483       15
t4         5466      440      330       13
t5           35       29       27        8
t6           39       14       10       10
t7           18        8        5        5
t8            6        6        2        2
t9          921      201      171       12
t10         217       47       37        9
t11          68       15       11        6
t12          28       14        4        4
t13         329       83       52       10
t14         567       79       48        6
t15        2970      246      146        3
t16        2993      234      142        5
t17        3498      625      481       13
t18        1006      399      302       18
t18a         18        4        4        1
t18b         12        2        2        2
t19         630      263      193       14
t19a         18        4        4        1
t20         670      193      154       20
t21          88       40       32       12
t22          55       55       39        9
t23         158      126       80       13
t24         138       65       45        8
t25          27       27       17       10
t26          42       42       20       10
t27         222      127       62       13
t28          22       18       12        8
t29          45       29       17       12
t30           6        6        3        2
t31          30       30        8        4
t31a         26       13        1        2
t32          50       42        8        6
t33          21       19        4        4
t34          38       19       13        8
t35         152       53       30        7
t36          82       41        3        4
t37          28       14        6        5
t38          42       21       14        6
t39          72       33       16        8
t40          92       46       12        8
t41          74       36       14        7
t42          98       49       22        4
t42a         52       13        1        4
t43         760      157      124       18
t44       14368      531      419       20
t45        2134      419      291        5
t46          98       74       62        2
t47        1191      288      211       21
t48          91       87       77        9
t48a          2        1        1        1
t49          36        9        7        4
t50         801       39       33        4
t51        2745      265      227       12
t52          26        9        7        7
t53          22        9        7        3
t54          15       10        6        6
t55          51       12        8        3
t56          32        8        4        6
t57          22        5        4        3
t58g         54       18       16        3
t58h        369      111       97       10
t59g          0        0        0        0
t59h         55       37       16        4
t60g          0        0        0        0
t60h        110       37       16        6
t61g         24        2        2        0
t61h         23       20       13        3
t62g          8        2        2        2
t62h         46       20       13        1
t63          60       10       10        8
t64        2674      343      268       11
t65          36        6        6        6
t66         115       92       59       13
t67         289      140      108        6
t68          11        9        7        6
t69          70       28       22       14
t70          53       28       22        5
t71g         92       48       39        6
t71h         50       14       12        1
t72g         53       44       35        5
t72h          7        6        4        1
t73g        412       85       76        4
t73h         13       11        5        2
t74g        472      101       92        9
t74h         22       10        8        5
t75        1114      339      257       18
t76         116       95       56        2
t77         223      159      124        3
t78         151      126       92       15
t79         112       30       28        7
t80        1204      181      140       20
t81           4        2        2        1
t82g        175      162       96       10
t82h         11       11        5        1
t82a         22       11        9        3
t83g        188      161      105        8
t83h         17       14        8        1
t83a         90       28       22       12
t84g        506      150      110       13
t84h          0        0        0        0
t85         278      128      102       12
t86         805      371      252        3
t87         136       34       24        4
t87a         24        2        2        2
t88          10        9        9        2
t89           1        1        1        0
t90          72       47       29        6
t91          13       10        8        9
t92          23       16       13        2
t93         172       78       67        9
t94          91       48       42       10
t95        1382      347      266       15
t96         162       75       61       10
