checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = ../benchmarking/datasets/industry.json
finished loading collection after 0.9 s
finished to_records after 0.9 s
finished counting results after 2336.9 s
191 / 225 (84.9%) tors ids covered:
t1   64256055406   [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t2   11175628059   [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t3   58773253441   [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]
t4   63370142191   [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t5    5382 2716   [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t6     208   74   [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t7       6    6   [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t8       0    0   [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t9   10896521427   [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t10   8996 1932   [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t11    297  124   [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t12      6    3   [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t13   5811 1376   [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]
t14  10158 1376   [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t15  45460 3663   [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]
t16  44604 3569   [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]
t17  48139254020   [*:1]~[#6X3:2]-[#6X4:3]-[*:4]
t18  9570032012   [*:1]-[#6X4:2]-[#6X3:3]=[*:4]
t18a  2350  752   [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t18b    54    9   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t19  2911914305   [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]
t19a  2162  680   [#1:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t20  4334115123   [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t21   2696 2119   [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t22   5151 4819   [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t23  2242513162   [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t24   3743 1709   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]
t25    201  201   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X4,#7X3:4]
t26    272  241   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X3$(*-[#6X3,#6X2]):4]
t27   4760 1536   [*:1]-[#6X4;r3:2]-[#6X3:3]~[*:4]
t28     75   42   [#6X4:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t29   1300  846   [#1:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t30     76   66   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]-[#7X3:4]
t31     85   75   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t31a     0    0   [#6X3:1]-[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t32    220  106   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t33     88   44   [#7X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t34    667  213   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t35   2126  625   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#6X3;r6:4]
t36    158   79   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]-;@[#6X3;r5:4]
t37    446  227   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]=;@[#6X3;r5:4]
t38     57   25   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#6X4:4]
t39    508  235   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#7X2;r6:4]
t40    800  390   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#7X2:4]
t41    581  299   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#8X2:4]
t42   1417  691   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t42a     0    0   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t43  16523030374   [*:1]~[#6X3:2]-[#6X3:3]~[*:4]
t44  266808068560   [*:1]~[#6X3:2]:[#6X3:3]~[*:4]
t45  22038536846   [*:1]-,:[#6X3:2]=[#6X3:3]-,:[*:4]
t46   5567 4936   [#6X4:1]-[#6X3:2]=[#6X3:3]-[#6X4:4]
t47  23294840661   [*:1]~[#6X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t48  1412912354   [#6X3:1]=[#6X3:2]-[#6X3:3]=[#8X1:4]
t48a   510  255   [#6X3:1]=[#6X3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t49    752  184   [*:1]~[#7a:2]:[#6a:3]~[*:4]
t50  79997 4349   [*:1]-[#6X4:2]-[#7X4:3]-[*:4]
t51  19432716177   [*:1]~[#6X4:2]-[#7X3:3]~[*:4]
t52    451  200   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t53    263  135   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t54     27    9   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t55     39   13   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t56     68   26   [*:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t57    304   62   [#1:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t58g 12748 3748   [#6X4:1]-[#6X4:2]-[#7X4:3]-[#6X4:4]
t58h 5187113468   [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X4:4]
t59g    95   55   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
t59h   189  124   [#1:1]-[#7X3:2]-[#6X4;r3:3]-[*:4]
t60g   190   55   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t60h   378  124   [#1:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t61g    70   35   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
t61h   297  178   [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[*:4]
t62g   140   35   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t62h   594  178   [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t63      0    0   [*:1]-[#7X4:2]-[#6X3:3]~[*:4]
t64  50362847431   [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t65     60   10   [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]
t66  2056014846   [#6X3:1]-[#7X3:2]-[#6X4:3]-[#6X3:4]
t67  5466626906   [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]=[#8,#16,#7]
t68   1579  954   [#8X2H0:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]
t69   2260 1032   [#6X3:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t70    338  198   [*:1]~[#7X2:2]-[#6X4:3]-[*:4]
t71g  1020  623   [#6X3:1]=[#7X2:2]-[#6X4:3]-[#1:4]
