checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = ../benchmarking/datasets/industry.json
finished loading collection after 1.0 s
finished to_records after 1.0 s
finished counting results after 2363.2 s
174 / 210 (82.9%) tors ids covered:
t1   642560   [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t2   111756   [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t3   587732   [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]
t4   633701   [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t5    5382   [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t6     208   [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t7       6   [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t8       0   [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t9   108965   [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t10   8996   [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t11    297   [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t12      6   [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t13   5811   [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]
t14  10158   [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t15  45460   [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]
t16  44604   [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]
t17  481392   [*:1]~[#6X3:2]-[#6X4:3]-[*:4]
t18  95700   [*:1]-[#6X4:2]-[#6X3:3]=[*:4]
t18a  2350   [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t18b    54   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t19  29119   [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]
t19a  2162   [#1:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t20  43341   [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t21   2696   [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t22   5151   [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t23  22425   [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t24   3743   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]
t25    201   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X4,#7X3:4]
t26    272   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X3$(*-[#6X3,#6X2]):4]
t27   4760   [*:1]-[#6X4;r3:2]-[#6X3:3]~[*:4]
t28     75   [#6X4:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t29   1300   [#1:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t30     76   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]-[#7X3:4]
t31     85   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t31a     0   [#6X3:1]-[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t32    220   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t33     88   [#7X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t34    667   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t35   2126   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#6X3;r6:4]
t36    158   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]-;@[#6X3;r5:4]
t37    446   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]=;@[#6X3;r5:4]
t38     57   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#6X4:4]
t39    508   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#7X2;r6:4]
t40    800   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#7X2:4]
t41    581   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#8X2:4]
t42   1417   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t42a     0   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t43  165230   [*:1]~[#6X3:2]-[#6X3:3]~[*:4]
t44  2668080   [*:1]~[#6X3:2]:[#6X3:3]~[*:4]
t45  220385   [*:1]-,:[#6X3:2]=[#6X3:3]-,:[*:4]
t46   5567   [#6X4:1]-[#6X3:2]=[#6X3:3]-[#6X4:4]
t47  232948   [*:1]~[#6X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t48  14129   [#6X3:1]=[#6X3:2]-[#6X3:3]=[#8X1:4]
t48a   510   [#6X3:1]=[#6X3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t49    752   [*:1]~[#7a:2]:[#6a:3]~[*:4]
t50  79997   [*:1]-[#6X4:2]-[#7X4:3]-[*:4]
t51  194327   [*:1]~[#6X4:2]-[#7X3:3]~[*:4]
t52    451   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t53    263   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]
t54     27   [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t55     39   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]
t56     68   [*:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t57    304   [#1:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]
t58  64619   [#6X4:1]-[#6X4:2]-[#7X4,#7X3:3]-[#6X4:4]
t59    284   [#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[*:4]
t60    568   [#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t61    367   [!#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[*:4]
t62    734   [!#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t63      0   [*:1]-[#7X4:2]-[#6X3:3]~[*:4]
t64  503628   [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t65     60   [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]
