checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = 02_curate-data/sage/td.json
finished loading collection after 0.3 s
finished to_records after 2.1 s
finished counting results after 34.3 s
181 / 210 (86.2%) tors ids covered:
t1    4502   [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t2     761   [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t3    4884   [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]
t4    5348   [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t5      34   [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t6      39   [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t7      18   [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t8       6   [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t9     877   [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t10    217   [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t11     68   [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t12     28   [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t13    317   [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]
t14    543   [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t15   3088   [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]
t16   3128   [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]
t17   3378   [*:1]~[#6X3:2]-[#6X4:3]-[*:4]
t18    980   [*:1]-[#6X4:2]-[#6X3:3]=[*:4]
t18a     0   [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t18b     0   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t19    612   [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]
t19a     6   [#1:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t20    655   [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t21     87   [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t22     55   [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t23    158   [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t24    138   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]
t25     27   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X4,#7X3:4]
t26     42   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X3$(*-[#6X3,#6X2]):4]
t27    222   [*:1]-[#6X4;r3:2]-[#6X3:3]~[*:4]
t28     22   [#6X4:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t29     45   [#1:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t30      6   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]-[#7X3:4]
t31     30   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]=[#8X1:4]
t31a    26   [#6X3:1]-[#6X4;r3:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t32     50   [#6X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t33     21   [#7X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t34     38   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
t35    152   [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#6X3;r6:4]
