checking coverage with
forcefield = openff-2.1.0.offxml
dataset = 02_curate-data/datasets/combined-td.json
finished loading collection after 0.2 s
finished to_records after 2.1 s
finished counting results after 35.8 s
177 / 181 (97.8%) tors ids covered:
t1    4820   [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t2     798   [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t3    5341   [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]
t4    5601   [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t5      35   [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t6      39   [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t7      18   [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t8       6   [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t9     923   [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t10    217   [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t11     74   [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t12     28   [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t13    329   [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]
t14    567   [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t15   3136   [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]
t16   3176   [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]
t17   3494   [*:1]~[#6X3:2]-[#6X4:3]-[*:4]
t18   1011   [*:1]-[#6X4:2]-[#6X3:3]=[*:4]
t18a     8   [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t18b     0   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t19    648   [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]
t19a    22   [#1:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t20    663   [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t21     87   [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t22     55   [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t23    159   [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t24    138   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]
t25     27   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X4,#7X3:4]
t26     42   [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X3$(*-[#6X3,#6X2]):4]
t27    222   [*:1]-[#6X4;r3:2]-[#6X3:3]~[*:4]
t28     22   [#6X4:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]
